accept-basic.py	ACCEPT
accept-decorator.py	ACCEPT
accept-forloop.py	ACCEPT
accept-typealias.py	ACCEPT
accept-walrus.py	ACCEPT
reject-brace-trailer.py	REJECT
reject-dangling-ifelse.py	REJECT
reject-dangling-span-expression.py	REJECT
reject-decorator-order.py	REJECT
reject-dict-missing-colon.py	REJECT
reject-exponent-dot.py	REJECT
reject-for-target.py	REJECT
reject-keyword-walrus.py	REJECT
reject-leading-comma.py	REJECT
reject-missing-comma.py	REJECT
reject-mixed-literals.py	REJECT
reject-positional-after-keyword.py	REJECT
reject-unary-binary.py	REJECT
